"id","category","question","aliases","answer","keywords","answer_mode","status","priority","last_verified_at","internal_note"
"faq-139","人數房型與包棟","房間可以換床位嗎？","","可依家庭組成、長輩需求、床型與衛浴配置協助建議；實際房數與床型以官網或民宿回覆為準。","房間可以換床位嗎","direct","approved","80","",""
"faq-140","人數房型與包棟","可以臨時增加人入住嗎？","","請先提供入住人數、房型偏好與活動需求，我們會建議最合適的房型或包棟配置。","入住","direct","approved","80","",""
"faq-141","人數房型與包棟","沒有過夜的訪客可以來嗎？","","未登記訪客不得擅自進入或使用設施；若有日間訪客，請先告知人數、時間與是否需收費。","沒有過夜的訪客可","direct","approved","80","",""
"faq-142","人數房型與包棟","朋友可以白天來玩嗎？","","未登記訪客不得擅自進入或使用設施；若有日間訪客，請先告知人數、時間與是否需收費。","朋友可以白天來玩","direct","approved","80","",""
"faq-143","人數房型與包棟","可以辦活動或聚會嗎？","","請先提供活動內容、人數、時段、布置與外部廠商需求；民宿會評估安全、音量、停車與清潔規範後回覆。","可以辦活動或聚會","direct","approved","80","",""
"faq-144","人數房型與包棟","求婚或生日派對可以嗎？","","請先提供活動內容、人數、時段、布置與外部廠商需求；民宿會評估安全、音量、停車與清潔規範後回覆。","求婚或生日派對可","direct","approved","80","",""
"faq-145","人數房型與包棟","可以商業拍攝嗎？","","請先提供活動內容、人數、時段、布置與外部廠商需求；民宿會評估安全、音量、停車與清潔規範後回覆。","可以商業拍攝嗎","direct","approved","80","",""
"faq-146","人數房型與包棟","可以拍婚紗嗎？","","請先提供活動內容、人數、時段、布置與外部廠商需求；民宿會評估安全、音量、停車與清潔規範後回覆。","可以拍婚紗嗎","direct","approved","80","",""
"faq-147","人數房型與包棟","包棟可不可以只住少人數？","","包棟通常以整棟方案計價，可詢問少人數或分區方案；實際開放範圍與價格以民宿回覆為準。","包棟","direct","approved","80","",""
"faq-148","人數房型與包棟","包棟可以分房收費嗎？","","可依家庭組成、長輩需求、床型與衛浴配置協助建議；實際房數與床型以官網或民宿回覆為準。","包棟","direct","approved","80","",""
"faq-149","人數房型與包棟","可以只租公共空間不住宿嗎？","","請先提供入住人數、房型偏好與活動需求，我們會建議最合適的房型或包棟配置。","可以只租公共空間","direct","approved","80","",""
"faq-150","人數房型與包棟","管家會住在裡面嗎？","","管家有獨立出入口與工作安排，不會任意進入客人使用空間；包棟期間會盡量保留隱私，必要協助會以官方 LINE 或現場約定方式聯繫。","管家會住在裡面嗎","direct","approved","80","",""
"faq-151","房間設備與備品","房間有冷氣嗎？","","設備依房型頁與現場配置為準；入住後若不會操作，可查看房內說明或聯繫民宿協助。","房間有冷氣嗎","direct","approved","80","",""
"faq-152","房間設備與備品","冷氣怎麼開？","","設備依房型頁與現場配置為準；入住後若不會操作，可查看房內說明或聯繫民宿協助。","冷氣怎麼開","direct","approved","80","",""
"faq-153","房間設備與備品","房間有暖氣嗎？","","設備依房型頁與現場配置為準；入住後若不會操作，可查看房內說明或聯繫民宿協助。","房間有暖氣嗎","direct","approved","80","",""
"faq-154","房間設備與備品","有Wi-Fi嗎？","","Wi-Fi帳號密碼會在入住資訊或房內公告提供；若連線異常請通知民宿協助檢查。","Wi-Fi","direct","approved","80","",""
"faq-155","房間設備與備品","Wi-Fi密碼是多少？","","Wi-Fi帳號密碼會在入住資訊或房內公告提供；若連線異常請通知民宿協助檢查。","Wi-Fi","direct","approved","80","",""
"faq-156","房間設備與備品","房間有電視嗎？","","電視與串流服務依房型設備為準；若需使用個人帳號，退房前請記得登出。","房間有電視嗎","direct","approved","80","",""
"faq-157","房間設備與備品","電視怎麼操作？","","電視與串流服務依房型設備為準；若需使用個人帳號，退房前請記得登出。","電視怎麼操作","direct","approved","80","",""
"faq-158","房間設備與備品","有Netflix嗎？","","電視與串流服務依房型設備為準；若需使用個人帳號，退房前請記得登出。","有Netflix","direct","approved","80","",""
"faq-159","房間設備與備品","房間有冰箱嗎？","","相關設備位置與是否開放使用依民宿公告；使用後請關閉電源、清潔並放回原位。","房間有冰箱嗎","direct","approved","80","",""
"faq-160","房間設備與備品","有熱水壺嗎？","","相關設備位置與是否開放使用依民宿公告；使用後請關閉電源、清潔並放回原位。","有熱水壺嗎","direct","approved","80","",""
"faq-161","房間設備與備品","有吹風機嗎？","","相關設備位置與是否開放使用依民宿公告；使用後請關閉電源、清潔並放回原位。","有吹風機嗎","direct","approved","80","",""
"faq-162","房間設備與備品","有毛巾浴巾嗎？","","備品提供依民宿規定；因環保政策，部分一次性用品可能不主動提供，建議自備個人盥洗用品。","有毛巾浴巾嗎","direct","approved","80","",""
"faq-163","房間設備與備品","有牙刷牙膏嗎？","","備品提供依民宿規定；因環保政策，部分一次性用品可能不主動提供，建議自備個人盥洗用品。","有牙刷牙膏嗎","direct","approved","80","",""
"faq-164","房間設備與備品","有洗髮精沐浴乳嗎？","","備品提供依民宿規定；因環保政策，部分一次性用品可能不主動提供，建議自備個人盥洗用品。","有洗髮精沐浴乳嗎","direct","approved","80","",""
"faq-165","房間設備與備品","有洗衣機嗎？","","相關設備位置與是否開放使用依民宿公告；使用後請關閉電源、清潔並放回原位。","有洗衣機嗎","direct","approved","80","",""
"faq-166","房間設備與備品","有曬衣空間嗎？","","相關設備位置與是否開放使用依民宿公告；使用後請關閉電源、清潔並放回原位。","有曬衣空間嗎","direct","approved","80","",""
"faq-167","房間設備與備品","房間有插座嗎？","","請勿自行使用高功率電器或不合格延長線；如需多孔插座或特殊用電請先詢問。","房間有插座嗎","direct","approved","80","",""
"faq-168","房間設備與備品","可以使用延長線嗎？","","請勿自行使用高功率電器或不合格延長線；如需多孔插座或特殊用電請先詢問。","可以使用延長線嗎","direct","approved","80","",""
"faq-169","房間設備與備品","可以帶自己的電器嗎？","","請勿自行使用高功率電器或不合格延長線；如需多孔插座或特殊用電請先詢問。","可以帶自己的電器","direct","approved","80","",""
"faq-170","房間設備與備品","房間隔音好嗎？","","民宿多為住宅型建築，隔音不一定等同飯店；晚間請降低音量，共同維持安寧。","房間隔音好嗎","direct","approved","80","",""
"faq-171","房間設備與備品","房間有窗簾遮光嗎？","","遮光與床墊軟硬屬房型與個人感受差異；若有睡眠需求，建議訂房前先詢問適合房型。","房間有窗簾遮光嗎","direct","approved","80","",""
"faq-172","房間設備與備品","床墊軟硬度如何？","","遮光與床墊軟硬屬房型與個人感受差異；若有睡眠需求，建議訂房前先詢問適合房型。","床墊軟硬度如何","direct","approved","80","",""
"faq-173","房間設備與備品","房間有蚊子或昆蟲嗎？","","鄉間或自然環境難免有小昆蟲，民宿會盡力清潔與防治；建議關好紗窗門窗並自備防蚊用品。","房間有蚊子或昆蟲","direct","approved","80","",""
"faq-174","房間設備與備品","房內可以吃東西嗎？","","房內可簡單飲食但請保持清潔；為安全與氣味考量，房內通常禁止煮食，請使用指定廚房。","房內可以吃東西嗎","direct","approved","80","",""
"faq-175","房間設備與備品","房內可以煮食嗎？","","房內可簡單飲食但請保持清潔；為安全與氣味考量，房內通常禁止煮食，請使用指定廚房。","房內可以煮食嗎","direct","approved","80","",""
"faq-176","公共空間與設施","公共空間有哪些？","","公共空間依民宿配置開放，使用時請遵守時間、音量、清潔與安全規範，晚間請降低音量。","公共空間有哪些","direct","approved","80","",""
"faq-177","公共空間與設施","客廳可以使用到幾點？","","公共空間依民宿配置開放，使用時請遵守時間、音量、清潔與安全規範，晚間請降低音量。","客廳可以使用到幾","direct","approved","80","",""
"faq-178","公共空間與設施","廚房可以使用嗎？","","廚房與餐飲設備是否開放、可用範圍與清潔方式依民宿公告；使用後請清洗歸位。","廚房","direct","approved","80","",""
"faq-179","公共空間與設施","餐廳區可以聚餐嗎？","","公共空間依民宿配置開放，使用時請遵守時間、音量、清潔與安全規範，晚間請降低音量。","餐廳區可以聚餐嗎","direct","approved","80","",""
"faq-180","公共空間與設施","公共冰箱可以放東西嗎？","","廚房與餐飲設備是否開放、可用範圍與清潔方式依民宿公告；使用後請清洗歸位。","公共冰箱可以放東","direct","approved","80","",""
"faq-181","公共空間與設施","有飲水機嗎？","","廚房與餐飲設備是否開放、可用範圍與清潔方式依民宿公告；使用後請清洗歸位。","有飲水機嗎","direct","approved","80","",""
"faq-182","公共空間與設施","有咖啡或茶嗎？","","廚房與餐飲設備是否開放、可用範圍與清潔方式依民宿公告；使用後請清洗歸位。","有咖啡或茶嗎","direct","approved","80","",""
"faq-183","公共空間與設施","可以使用公共杯盤嗎？","","廚房與餐飲設備是否開放、可用範圍與清潔方式依民宿公告；使用後請清洗歸位。","可以使用公共杯盤","direct","approved","80","",""
"faq-184","公共空間與設施","可以借桌遊嗎？","","若提供桌遊或玩具，請家長陪同孩子使用，確認配件完整並放回原位。","可以借桌遊嗎","direct","approved","80","",""
"faq-185","公共空間與設施","有兒童玩具嗎？","","若提供桌遊或玩具，請家長陪同孩子使用，確認配件完整並放回原位。","有兒童玩具嗎","direct","approved","80","",""
"faq-186","公共空間與設施","有電梯嗎？","","是否有電梯需依建物配置；若有長輩或行動不便者同行，請訂房前確認樓層與動線。","有電梯嗎","direct","approved","80","",""
"faq-187","公共空間與設施","公共空間可以拍照嗎？","","公共空間依民宿配置開放，使用時請遵守時間、音量、清潔與安全規範，晚間請降低音量。","公共空間可以拍照","direct","approved","80","",""
"faq-188","公共空間與設施","可以移動家具嗎？","","個人拍照可正常進行，但布置、明火、香氛或移動家具需事前同意，不得傷牆、殘膠或造成清潔負擔。","可以移動家具嗎","direct","approved","80","",""
"faq-189","公共空間與設施","可以布置公共空間嗎？","","公共空間依民宿配置開放，使用時請遵守時間、音量、清潔與安全規範，晚間請降低音量。","可以布置公共空間","direct","approved","80","",""
"faq-190","公共空間與設施","可以點蠟燭嗎？","","個人拍照可正常進行，但布置、明火、香氛或移動家具需事前同意，不得傷牆、殘膠或造成清潔負擔。","可以點蠟燭嗎","direct","approved","80","",""
"faq-191","公共空間與設施","可以使用香氛或擴香嗎？","","個人拍照可正常進行，但布置、明火、香氛或移動家具需事前同意，不得傷牆、殘膠或造成清潔負擔。","可以使用香氛或擴","direct","approved","80","",""
"faq-192","公共空間與設施","公共區域有冷氣嗎？","","公共區域冷氣與燈光請依使用時間與節能規範操作；離開或睡前請關閉非必要電源。","公共區域有冷氣嗎","direct","approved","80","",""
"faq-193","公共空間與設施","公共區域燈光可以整晚開嗎？","","公共區域冷氣與燈光請依使用時間與節能規範操作；離開或睡前請關閉非必要電源。","公共區域燈光可以","direct","approved","80","",""
"faq-194","公共空間與設施","垃圾要丟哪裡？","","請依民宿標示分類一般垃圾、回收、玻璃與廚餘，並放置於指定位置。","垃圾要丟哪裡","direct","approved","80","",""
"faq-195","公共空間與設施","資源回收怎麼分類？","","請依民宿標示分類一般垃圾、回收、玻璃與廚餘，並放置於指定位置。","資源回收怎麼分類","direct","approved","80","",""
"faq-196","公共空間與設施","公共空間髒了怎麼辦？","","公共空間依民宿配置開放，使用時請遵守時間、音量、清潔與安全規範，晚間請降低音量。","公共空間髒了怎麼","direct","approved","80","",""
"faq-197","公共空間與設施","設施壞掉怎麼辦？","","若公共空間髒污、打翻或設備故障，請立即拍照並通知民宿，以便即時處理。","設施壞掉怎麼辦","direct","approved","80","",""
"faq-198","公共空間與設施","公共區可以穿室外鞋嗎？","","請依現場標示換鞋與使用公共物品；物品使用後請放回原處，避免其他住客找不到。","公共區可以穿室外","direct","approved","80","",""
"faq-199","公共空間與設施","可以把公共物品拿進房間嗎？","","請依現場標示換鞋與使用公共物品；物品使用後請放回原處，避免其他住客找不到。","可以把公共物品拿","direct","approved","80","",""
"faq-200","公共空間與設施","公共空間有監視器嗎？","","公共空間依民宿配置開放，使用時請遵守時間、音量、清潔與安全規範，晚間請降低音量。","監視器","direct","approved","80","",""
"faq-201","早餐餐飲與廚房","有附早餐嗎？","","早餐目前以代訂為主，是否提供與內容依當期方案為準；若需要早餐，請提前告知份數、用餐時間與特殊飲食需求。","早餐","direct","approved","80","",""
"faq-202","早餐餐飲與廚房","早餐幾點供應？","","早餐供應或送達時間會依代訂店家與當日安排確認；請提前告知希望用餐時間，管家會協助評估是否可配合。","早餐","direct","approved","80","",""
"faq-203","早餐餐飲與廚房","早餐可以素食嗎？","","可以先提出素食或特殊飲食需求；能否代訂素食早餐需依合作店家菜單與當日供應狀況確認。","早餐","direct","approved","80","",""
"faq-204","早餐餐飲與廚房","可以代訂早餐嗎？","","可以代訂早餐。請提前告知份數、用餐時間與特殊飲食需求；實際品項、費用與截止時間會依當期公告或管家回覆為準。","早餐","direct","approved","80","",""
"faq-205","早餐餐飲與廚房","早餐一份多少錢？","","早餐代訂費用以當期公告為準；目前規劃每份約 250 元，實際內容、價格與是否可供應會由管家確認後回覆。","早餐","direct","approved","80","",""
"faq-206","早餐餐飲與廚房","可以自己煮早餐嗎？","","早餐是否包含、供應時間、素食或代訂費用依訂房方案與當期菜單為準；特殊飲食請提前告知。","早餐","direct","approved","80","",""
"faq-207","早餐餐飲與廚房","廚房有哪些設備？","","若開放廚房，請依使用時間、器具範圍與清潔規範操作；房內通常禁止煮食。","廚房","direct","approved","80","",""
"faq-208","早餐餐飲與廚房","有鍋具可以用嗎？","","若開放廚房，請依使用時間、器具範圍與清潔規範操作；房內通常禁止煮食。","有鍋具可以用嗎","direct","approved","80","",""
"faq-209","早餐餐飲與廚房","可以煮火鍋嗎？","","若開放廚房，請依使用時間、器具範圍與清潔規範操作；房內通常禁止煮食。","可以煮火鍋嗎","direct","approved","80","",""
"faq-210","早餐餐飲與廚房","可以代訂烤肉食材嗎？","","可以詢問是否提供烤肉食材代訂或合作店家；請提前確認人數、預算、內容、送達時間與是否需另付代訂費，現場不建議臨時追加。","烤肉食材｜代訂｜烤肉","direct","approved","80","",""
"faq-211","早餐餐飲與廚房","烤肉設備有提供嗎？","","烤肉需事前確認場地、設備、費用、天候限制與炭灰垃圾處理方式；未確認前請勿自行生火。","烤肉","direct","approved","80","",""
"faq-212","早餐餐飲與廚房","可以叫外燴嗎？","","可提供附近餐廳、外送範圍或外燴注意事項；熱門餐廳與外燴建議提前訂位或預約。","可以叫外燴嗎","direct","approved","80","",""
"faq-213","早餐餐飲與廚房","可以叫外送嗎？","","可提供附近餐廳、外送範圍或外燴注意事項；熱門餐廳與外燴建議提前訂位或預約。","可以叫外送嗎","direct","approved","80","",""
"faq-214","早餐餐飲與廚房","附近有推薦餐廳嗎？","","可提供附近餐廳、外送範圍或外燴注意事項；熱門餐廳與外燴建議提前訂位或預約。","附近有推薦餐廳嗎","direct","approved","80","",""
"faq-215","早餐餐飲與廚房","可以幫忙訂餐廳嗎？","","可提供附近餐廳、外送範圍或外燴注意事項；熱門餐廳與外燴建議提前訂位或預約。","可以幫忙訂餐廳嗎","direct","approved","80","",""
"faq-216","早餐餐飲與廚房","可以在房間吃泡麵嗎？","","可簡單飲食與理性飲酒，但請避免味道殘留、喧嘩、酒後駕車與垃圾未處理。","可以在房間吃泡麵","direct","approved","80","",""
"faq-217","早餐餐飲與廚房","可以帶酒嗎？","","可簡單飲食與理性飲酒，但請避免味道殘留、喧嘩、酒後駕車與垃圾未處理。","可以帶酒嗎","direct","approved","80","",""
"faq-218","早餐餐飲與廚房","可以開派對喝酒唱歌嗎？","","可簡單飲食與理性飲酒，但請避免味道殘留、喧嘩、酒後駕車與垃圾未處理。","可以開派對喝酒唱","direct","approved","80","",""
"faq-219","早餐餐飲與廚房","有提供冰塊嗎？","","冰塊、水壺或保溫瓶是否提供依民宿備品；大量需求建議自行購買或提前詢問。","有提供冰塊嗎","direct","approved","80","",""
"faq-220","早餐餐飲與廚房","可以借保溫瓶或水壺嗎？","","冰塊、水壺或保溫瓶是否提供依民宿備品；大量需求建議自行購買或提前詢問。","可以借保溫瓶或水","direct","approved","80","",""
"faq-221","早餐餐飲與廚房","餐具不小心打破怎麼辦？","","請先注意安全並通知民宿，不要徒手撿碎片；若有損壞，會依實際情況處理。","餐具不小心打破怎","direct","approved","80","",""
"faq-222","早餐餐飲與廚房","食物可以留在冰箱嗎？","","退房時請帶走所有個人食物；未取走的食物基於衛生會由清潔人員處理。","食物可以留在冰箱","direct","approved","80","",""
"faq-223","早餐餐飲與廚房","可以煮氣味重的食物嗎？","","請避免料理氣味重或油煙大的食物；廚餘、湯水與油脂需依指定方式處理，使用後請基本清潔復原。","可以煮氣味重的食","direct","approved","80","",""
"faq-224","早餐餐飲與廚房","廚餘怎麼處理？","","請避免料理氣味重或油煙大的食物；廚餘、湯水與油脂需依指定方式處理，使用後請基本清潔復原。","廚餘怎麼處理","direct","approved","80","",""
"faq-225","早餐餐飲與廚房","退房前廚房要清到什麼程度？","","若開放廚房，請依使用時間、器具範圍與清潔規範操作；房內通常禁止煮食。","退房｜廚房","direct","approved","80","",""
"faq-226","寵物友善","可以帶寵物嗎？","","可以，慢慢蒔光是寵物友善 villa。訂房時請先告知寵物種類、數量、體型與習性，管家會協助確認入住規範、清潔注意事項與可能費用。","寵物","direct","approved","80","",""
"faq-227","寵物友善","可以帶狗嗎？","","可以，慢慢蒔光是寵物友善 villa，可以帶狗狗一起入住。實際寵物數量、大小、清潔規範與特殊需求，仍需由管家確認。","可以帶狗嗎","direct","approved","80","",""
"faq-228","寵物友善","可以帶貓嗎？","","可以先提出需求。慢慢蒔光是寵物友善 villa，貓咪入住的數量、清潔注意事項與空間安排，建議由管家依實際情況確認。","可以帶貓嗎","direct","approved","80","",""
"faq-229","寵物友善","寵物需要收費嗎？","","寵物相關費用、清潔費或押金會依寵物種類、數量、大小與當期規範確認；慢寶不會直接承諾固定金額，管家會在訂房前說明清楚。","寵物","direct","approved","80","",""
"faq-230","寵物友善","寵物可以上床嗎？","","為了維護寢具與清潔品質，通常不建議寵物上床或上沙發；如有拍照或特殊需求，請先與管家確認是否可配合及是否需加購保潔用品。","寵物","direct","approved","80","",""
"faq-231","寵物友善","寵物可以進房間嗎？","","寵物是否可進入房間與可活動範圍，會依當期寵物入住規範確認。訂房時請先告知寵物種類、數量與體型，方便管家安排。","寵物","direct","approved","80","",""
"faq-232","寵物友善","寵物可以單獨留在房內嗎？","","不建議讓寵物單獨留在房內，以免焦慮、吠叫、破壞家具或造成安全問題；若行程需要暫離，請先與管家討論安排。","寵物","direct","approved","80","",""
"faq-233","寵物友善","狗狗會叫可以入住嗎？","","若狗狗容易吠叫，請攜帶安撫用品並盡量避免影響鄰居與其他住客；持續吠叫或造成困擾時，管家可能會依住宿規範協助處理。","入住","direct","approved","80","",""
"faq-234","寵物友善","大型犬可以入住嗎？","","大型犬可以先提出需求，由管家依狗狗體型、品種、數量、入住人數與當日房況確認是否合適。請提前提供相關資訊，方便安排。","入住","direct","approved","80","",""
"faq-235","寵物友善","可以帶幾隻寵物？","","可攜帶寵物數量需由管家依寵物種類、體型、房況與清潔安排確認；請先提供種類、數量、體重與習性，不建議未告知直接攜帶。","寵物","direct","approved","80","",""
"faq-236","寵物友善","寵物需要籠子嗎？","","建議自備外出籠、睡墊、尿布墊、撿便袋、慣用食器與安撫用品；若民宿有提供部分備品，也會以當期公告與現場數量為準。","寵物","direct","approved","80","",""
"faq-237","寵物友善","有寵物用品嗎？","","寵物用品以當期備品與現場數量為準；為了讓毛孩更適應環境，仍建議自備睡墊、尿布墊、撿便袋、食器與慣用用品。","寵物","direct","approved","80","",""
"faq-238","寵物友善","要自備尿布墊嗎？","","建議自備尿布墊、撿便袋與清潔用品，特別是幼犬、貓咪或較容易緊張的寵物。現場是否有備品仍依當期準備數量為準。","要自備尿布墊嗎","direct","approved","80","",""
"faq-239","寵物友善","寵物可以在庭院跑嗎？","","寵物可依規範在指定戶外區域活動，請務必牽繩、全程看顧並立即清理排泄物；是否能自由奔跑需依現場安全與圍界狀況確認。","寵物","direct","approved","80","",""
"faq-240","寵物友善","寵物可以進公共空間嗎？","","寵物是否可進公共空間，會依當期寵物友善規範確認；若可進入，請牽繩或看顧，並避免影響家具、布品與其他住客。","寵物","direct","approved","80","",""
"faq-241","寵物友善","寵物弄髒床單怎麼辦？","","請第一時間清理並通知管家；若造成床單、床墊、布品或空間深度清潔、除味或汰換，可能依實際情況收取費用。","寵物","direct","approved","80","",""
"faq-242","寵物友善","寵物咬壞家具怎麼辦？","","請立即通知管家並保留現場狀況；若寵物造成家具、牆面、布品或設備損壞，會依實際修復、清潔或汰換費用處理。","寵物","direct","approved","80","",""
"faq-243","寵物友善","寵物掉毛會被收費嗎？","","一般正常掉毛會納入寵物入住清潔考量；若掉毛、異味或髒污嚴重，可能依寵物清潔規範收取額外清潔費，實際以管家確認為準。","寵物","direct","approved","80","",""
"faq-244","寵物友善","寵物可以洗澡嗎？","","是否可在民宿替寵物洗澡需先確認；請勿使用客用毛巾擦寵物，建議自備寵物毛巾、清潔用品與吹乾工具。","寵物","direct","approved","80","",""
"faq-245","寵物友善","附近有寵物友善餐廳嗎？","","可協助提供附近寵物友善餐廳、景點或動物醫院方向建議；店家規範與營業時間可能變動，出發前仍建議自行再確認。","寵物","direct","approved","80","",""
"faq-246","寵物友善","附近有動物醫院嗎？","","若需要附近動物醫院資訊，請告知目前狀況與所在位置，管家可協助提供附近可查詢方向；緊急狀況請優先聯繫動物醫院或就近就醫。","附近有動物醫院嗎","direct","approved","80","",""
"faq-247","寵物友善","寵物需要打疫苗證明嗎？","","若當期寵物入住規範要求疫苗證明、寵物入住同意書或切結書，請依規定提供；訂房前可先詢問需準備哪些資料。","寵物","direct","approved","80","",""
"faq-248","寵物友善","可以帶寵物坐床或沙發拍照嗎？","","寵物坐床或沙發拍照需先詢問，並以不造成髒污、抓痕、殘留毛髮或異味為原則；若需要，可能需使用自備墊布或保潔用品。","寵物","direct","approved","80","",""
"faq-249","寵物友善","寵物便便要怎麼處理？","","寵物排泄物請立即清理並丟至指定位置，避免留在戶外、房內或公共區域；若造成髒污或異味，可能依清潔規範處理。","寵物","direct","approved","80","",""
"faq-250","寵物友善","寵物入住要簽切結嗎？","","是否需簽寵物入住同意書或切結，會依當期寵物規範確認。若需要，請詳閱清潔、損壞、噪音與安全責任後再入住。","入住｜寵物","direct","approved","80","",""
"faq-251","親子長輩與無障礙","適合帶小孩入住嗎？","","請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。","入住","direct","approved","80","",""
"faq-252","親子長輩與無障礙","有嬰兒床嗎？","","請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。","有嬰兒床嗎","direct","approved","80","",""
"faq-253","親子長輩與無障礙","有澡盆嗎？","","請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。","有澡盆嗎","direct","approved","80","",""
"faq-254","親子長輩與無障礙","有消毒鍋嗎？","","請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。","有消毒鍋嗎","direct","approved","80","",""
"faq-255","親子長輩與無障礙","小孩可以使用樓梯嗎？","","請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。","小孩可以使用樓梯","direct","approved","80","",""
"faq-256","親子長輩與無障礙","有兒童遊戲區嗎？","","請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。","有兒童遊戲區嗎","direct","approved","80","",""
"faq-257","親子長輩與無障礙","可以帶嬰兒推車嗎？","","請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。","可以帶嬰兒推車嗎","direct","approved","80","",""
"faq-258","親子長輩與無障礙","長輩適合入住嗎？","","請先告知長輩行動狀況、輪椅或助行器需求，我們會誠實評估樓層、門寬、衛浴與動線是否合適。","入住","direct","approved","80","",""
"faq-259","親子長輩與無障礙","有無障礙設施嗎？","","請先告知長輩行動狀況、輪椅或助行器需求，我們會誠實評估樓層、門寬、衛浴與動線是否合適。","有無障礙設施嗎","direct","approved","80","",""
"faq-260","親子長輩與無障礙","輪椅可以進出嗎？","","請先告知長輩行動狀況、輪椅或助行器需求，我們會誠實評估樓層、門寬、衛浴與動線是否合適。","輪椅可以進出嗎","direct","approved","80","",""
"faq-261","親子長輩與無障礙","有一樓衛浴嗎？","","請先告知長輩行動狀況、輪椅或助行器需求，我們會誠實評估樓層、門寬、衛浴與動線是否合適。","有一樓衛浴嗎","direct","approved","80","",""
"faq-262","親子長輩與無障礙","浴室會不會滑？","","民宿空間可能有樓梯、濕滑地面與家具邊角，請家長全程陪同孩子並遵守安靜與安全規範。","浴室會不會滑","direct","approved","80","",""
"faq-263","親子長輩與無障礙","有浴缸嗎？","","是否有浴缸依房型而定；幼兒或長輩使用時請務必有人陪同並注意水溫與防滑。","有浴缸嗎","direct","approved","80","",""
"faq-264","親子長輩與無障礙","有親子餐具嗎？","","此問題需依民宿實際設備、房況與公告規定確認；建議訂房前先詢問，民宿會提供最準確答覆。","有親子餐具嗎","direct","approved","80","",""
"faq-265","親子長輩與無障礙","孩子可以跑跳嗎？","","民宿空間可能有樓梯、濕滑地面與家具邊角，請家長全程陪同孩子並遵守安靜與安全規範。","孩子可以跑跳嗎","direct","approved","80","",""
"faq-266","親子長輩與無障礙","有尖角或易碎裝飾嗎？","","民宿空間可能有樓梯、濕滑地面與家具邊角，請家長全程陪同孩子並遵守安靜與安全規範。","有尖角或易碎裝飾","direct","approved","80","",""
"faq-267","親子長輩與無障礙","可以帶寵物又帶小孩嗎？","","請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。","寵物","direct","approved","80","",""
"faq-268","親子長輩與無障礙","有藥箱嗎？","","民宿可提供附近醫療資訊或簡易急救用品位置；緊急狀況請先撥119，個人藥品請自行攜帶。","有藥箱嗎","direct","approved","80","",""
"faq-269","親子長輩與無障礙","附近有醫院或診所嗎？","","民宿可提供附近醫療資訊或簡易急救用品位置；緊急狀況請先撥119，個人藥品請自行攜帶。","附近有醫院或診所","direct","approved","80","",""
"faq-270","親子長輩與無障礙","可以幫忙安排親子活動嗎？","","可依孩子年齡、天候與行程需求推薦親子景點或雨天備案；實際營業時間請出發前確認。","可以幫忙安排親子","direct","approved","80","",""
"faq-271","親子長輩與無障礙","小朋友要帶證件嗎？","","若有兒童年齡優惠或人數確認，建議攜帶可證明年齡的文件；住宿登記依民宿規範辦理。","小朋友要帶證件嗎","direct","approved","80","",""
"faq-272","親子長輩與無障礙","有樓梯護欄嗎？","","民宿空間可能有樓梯、濕滑地面與家具邊角，請家長全程陪同孩子並遵守安靜與安全規範。","有樓梯護欄嗎","direct","approved","80","",""
"faq-273","親子長輩與無障礙","可以加裝床圍嗎？","","請先告知孩子年齡與需求；嬰兒床、澡盆、餐椅、玩具或床圍等備品需提前確認，數量有限。","可以加裝床圍嗎","direct","approved","80","",""
"faq-274","親子長輩與無障礙","長輩怕吵，哪間房較安靜？","","請先告知長輩行動狀況、輪椅或助行器需求，我們會誠實評估樓層、門寬、衛浴與動線是否合適。","長輩怕吵｜哪間房","direct","approved","80","",""
"faq-275","親子長輩與無障礙","老人家晚上起夜方便嗎？","","請先告知長輩行動狀況、輪椅或助行器需求，我們會誠實評估樓層、門寬、衛浴與動線是否合適。","老人家晚上起夜方","direct","approved","80","",""
"faq-276","清潔消毒與衛生","房間會每天打掃嗎？","","短住通常以入住前完整清潔為主；連住打掃、毛巾更換與補備品規則依民宿公告辦理。","房間會每天打掃嗎","direct","approved","80","",""
"faq-277","清潔消毒與衛生","入住前有消毒嗎？","","民宿會於每組客人入住前完成基本清潔，寢具應於每位客人使用後換洗並保持清潔。","入住","direct","approved","80","",""
"faq-278","清潔消毒與衛生","床單會每組客人更換嗎？","","民宿會於每組客人入住前完成基本清潔，寢具應於每位客人使用後換洗並保持清潔。","床單會每組客人更","direct","approved","80","",""
